id;age;job;marital;education;balance;housing;loan;default
1;26.0;unemployed;married;tertiary;454;yes;yes;no
2;25.0;technician;married;secondary;517;no;no;no
3;36.0;technician;single;secondary;1044;yes;no;no
4;45.0;blue-collar;married;secondary;146;yes;yes;no
5;27.0;management;married;tertiary;145;no;no;no
6;45.0;unemployed;divorced;primary;11;no;no;yes
7;35.0;management;married;tertiary;298;yes;no;no
8;27.0;technician;single;secondary;905;yes;yes;no
9;;management;married;tertiary;-485;yes;no;yes
10;32.0;unemployed;married;secondary;10;yes;no;no
11;46.0;blue-collar;married;secondary;78;yes;yes;no
12;53.0;management;married;tertiary;0;no;no;no
13;32.0;management;single;tertiary;223;no;no;no
14;34.0;student;;tertiary;387;yes;no;no
15;58.0;management;married;tertiary;96;no;no;no
16;77.0;retired;married;tertiary;0;no;no;no
17;31.0;blue-collar;single;secondary;-161;no;no;no
18;47.0;blue-collar;;secondary;3630;yes;no;no
19;;blue-collar;married;secondary;302;no;yes;no
20;47.0;blue-collar;married;primary;1452;yes;yes;no
21;32.0;management;married;tertiary;1651;yes;no;no
22;31.0;admin.;married;secondary;84;yes;no;no
23;30.0;management;single;secondary;2143;yes;yes;no
24;31.0;management;single;tertiary;682;yes;no;no
25;59.0;retired;divorced;secondary;337;yes;no;yes
26;23.0;technician;single;secondary;4545;no;no;no
27;40.0;blue-collar;married;primary;1698;yes;yes;no
28;39.0;blue-collar;married;secondary;1367;no;no;no
29;57.0;blue-collar;;primary;3109;no;no;no
30;56.0;management;married;tertiary;480;yes;no;no
31;44.0;services;married;secondary;3536;no;no;no
32;;housemaid;single;secondary;781;yes;no;no
33;75.0;retired;married;secondary;291;no;no;no
34;27.0;blue-collar;single;secondary;3145;no;no;no
35;45.0;services;married;secondary;-75;yes;no;no
36;35.0;admin.;married;secondary;1035;yes;yes;no
37;36.0;services;;secondary;981;no;no;no
38;55.0;management;divorced;tertiary;552;no;no;no
39;54.0;technician;married;secondary;465;yes;yes;yes
40;45.0;technician;married;unknown;886;yes;no;no
41;56.0;retired;married;primary;-464;yes;no;no
42;57.0;retired;;tertiary;34;no;yes;no
43;;technician;married;secondary;-74;yes;no;yes
44;53.0;blue-collar;married;secondary;1777;yes;no;no
45;30.0;technician;single;secondary;1395;yes;no;no
46;36.0;management;married;secondary;-148;no;no;no
47;73.0;retired;married;tertiary;1843;no;no;no
48;33.0;unknown;single;secondary;1522;no;yes;no
49;51.0;blue-collar;divorced;tertiary;257;yes;no;yes
50;;retired;divorced;primary;1327;yes;yes;yes
51;37.0;housemaid;married;primary;0;no;no;no
52;39.0;blue-collar;;secondary;497;no;no;no
53;32.0;blue-collar;married;primary;902;yes;no;no
54;44.0;blue-collar;married;secondary;1311;yes;no;no
55;46.0;blue-collar;married;primary;1596;no;no;no
56;43.0;management;married;tertiary;2767;yes;no;no
57;25.0;entrepreneur;single;tertiary;0;no;no;no
58;46.0;admin.;divorced;secondary;984;yes;no;no
59;28.0;management;married;tertiary;84;no;yes;yes
60;;blue-collar;married;unknown;231;yes;no;no
61;26.0;admin.;single;tertiary;3730;yes;no;no
62;53.0;retired;;secondary;1139;yes;no;no
63;42.0;blue-collar;married;secondary;388;yes;yes;no
64;35.0;blue-collar;married;secondary;485;yes;no;no
65;32.0;blue-collar;married;secondary;363;yes;no;no
66;40.0;blue-collar;married;secondary;-313;yes;no;no
67;33.0;entrepreneur;single;secondary;278;no;no;no
68;41.0;blue-collar;married;secondary;-204;yes;no;yes
69;30.0;admin.;married;secondary;2931;yes;no;no
70;32.0;management;single;tertiary;3;yes;no;no
71;40.0;technician;single;secondary;2244;no;yes;no
72;42.0;services;married;primary;5879;yes;no;no
73;41.0;technician;married;secondary;871;yes;no;no
74;40.0;admin.;;secondary;35;no;no;no
75;;technician;married;secondary;757;no;no;no
76;63.0;blue-collar;married;primary;115;no;no;yes
77;39.0;management;divorced;secondary;51;no;no;no
78;36.0;blue-collar;married;secondary;580;no;no;no
79;43.0;management;married;tertiary;4923;yes;no;no
80;25.0;admin.;single;tertiary;3730;yes;no;no
81;40.0;blue-collar;married;secondary;-605;yes;yes;no
82;32.0;blue-collar;;secondary;34;yes;no;no
83;54.0;technician;single;secondary;2237;no;no;yes
84;53.0;blue-collar;married;secondary;285;yes;yes;no
85;41.0;admin.;married;secondary;-120;no;no;yes
86;54.0;technician;divorced;secondary;-291;no;no;yes
87;45.0;management;married;tertiary;31472;no;no;no
88;33.0;blue-collar;;secondary;529;yes;no;no
89;;technician;single;secondary;35;no;no;no
90;31.0;admin.;single;secondary;1340;no;no;no
91;40.0;admin.;married;secondary;149;yes;no;no
92;33.0;technician;single;secondary;5235;no;no;no
93;49.0;technician;married;secondary;3466;yes;no;no
94;39.0;management;married;tertiary;575;no;no;no
95;46.0;services;divorced;secondary;348;yes;no;no
96;28.0;student;single;tertiary;1096;no;no;no
97;30.0;technician;single;tertiary;1646;no;no;no
98;59.0;retired;divorced;secondary;1;no;no;no
99;24.0;services;single;secondary;77;yes;yes;no
100;28.0;technician;single;tertiary;0;yes;no;no
101;;blue-collar;;primary;676;yes;no;no
102;23.0;student;single;secondary;556;yes;no;no
103;56.0;management;married;secondary;3164;no;no;no
104;53.0;admin.;married;secondary;257;no;no;no
105;59.0;blue-collar;married;primary;0;no;no;yes
106;31.0;technician;single;secondary;0;no;no;no
107;27.0;blue-collar;;secondary;5854;no;no;no
108;32.0;services;single;secondary;1168;yes;no;no
109;39.0;housemaid;married;secondary;1029;yes;yes;no
110;;blue-collar;married;secondary;685;yes;no;no
111;33.0;technician;single;tertiary;2565;yes;no;no
112;33.0;management;married;tertiary;5878;no;no;no
113;52.0;admin.;divorced;tertiary;0;yes;yes;no
114;36.0;services;single;secondary;590;yes;no;no
115;40.0;admin.;;secondary;1538;yes;no;no
116;36.0;services;single;secondary;260;yes;no;no
117;;blue-collar;divorced;secondary;0;no;no;no
118;43.0;technician;divorced;secondary;353;yes;no;yes
119;36.0;management;divorced;tertiary;0;no;no;no
120;34.0;admin.;single;tertiary;18;yes;yes;no
121;55.0;management;married;tertiary;1161;yes;no;yes
122;29.0;services;married;secondary;13;no;no;no
123;;blue-collar;married;primary;0;no;no;no
124;35.0;unemployed;married;secondary;978;no;no;no
125;33.0;management;married;tertiary;273;yes;no;no
126;48.0;services;;secondary;194;yes;yes;no
127;33.0;management;married;tertiary;78;yes;no;no
128;38.0;admin.;single;unknown;0;yes;no;no
129;44.0;technician;divorced;secondary;303;yes;yes;no
130;54.0;services;married;tertiary;0;no;no;no
131;;management;married;tertiary;4374;yes;no;no
132;32.0;housemaid;;secondary;216;no;yes;no
133;52.0;unemployed;married;tertiary;1595;no;no;no
134;29.0;management;single;tertiary;21;yes;no;no
135;32.0;blue-collar;married;secondary;4;yes;yes;no
136;29.0;student;single;unknown;7585;no;no;no
137;55.0;retired;married;secondary;4230;no;yes;no
138;34.0;technician;;tertiary;932;yes;no;no
139;54.0;management;married;secondary;282;yes;yes;no
140;;management;married;tertiary;62;yes;no;no
141;33.0;technician;married;unknown;0;no;no;no
142;36.0;blue-collar;married;secondary;3463;yes;no;no
143;40.0;blue-collar;;primary;0;no;no;no
144;51.0;blue-collar;married;primary;1491;yes;no;no
145;33.0;technician;married;tertiary;575;yes;no;no
146;32.0;housemaid;married;primary;0;yes;no;no
147;37.0;housemaid;divorced;secondary;37;no;no;no
148;35.0;entrepreneur;married;secondary;24;yes;no;no
149;32.0;blue-collar;single;secondary;567;yes;no;no
150;30.0;services;single;secondary;290;yes;no;no
151;;management;single;tertiary;536;no;no;no
152;36.0;blue-collar;married;secondary;4;yes;no;no
153;40.0;blue-collar;married;unknown;1181;yes;no;no
154;26.0;admin.;single;secondary;-14;no;no;no
155;27.0;technician;single;secondary;911;no;no;no
156;58.0;blue-collar;married;secondary;266;yes;no;no
157;43.0;entrepreneur;single;tertiary;5347;no;no;no
158;36.0;technician;single;tertiary;40;no;no;no
159;33.0;services;married;secondary;930;no;yes;no
160;51.0;blue-collar;;primary;4712;no;no;no
161;37.0;blue-collar;married;secondary;982;yes;no;no
162;47.0;blue-collar;married;secondary;0;yes;no;no
163;;management;married;tertiary;618;no;no;no
164;58.0;blue-collar;married;primary;3108;no;yes;no
165;60.0;retired;;primary;55;no;no;no
166;49.0;blue-collar;married;primary;953;yes;no;no
167;40.0;admin.;married;tertiary;10035;no;no;no
168;59.0;admin.;;secondary;2552;no;yes;no
169;27.0;management;married;tertiary;893;no;no;no
170;;technician;single;unknown;766;no;no;no
